config_id,config_name,n,hit1,hit3,hit5,mrr5,p3,ctx_recall,lat_mean,lat_median,lat_p95,cache_hit_rate,n_cache_hits,lat_cache_hit,lat_cache_miss
1,Base RAG,30,0.667,0.833,0.9,0.754,0.467,0.587,28.0,27.4,33.7,0.0,0,0.0,0.0
2,+ Reranker,30,0.8,0.933,0.933,0.861,0.6,0.63,435.3,421.6,753.4,0.0,0,0.0,0.0
3,+ Regex Rewrite,30,0.833,0.933,0.967,0.886,0.644,0.666,467.1,531.1,694.2,0.0,0,0.0,0.0
4,+ LLM Decomp,30,0.767,0.9,0.9,0.833,0.589,0.651,1541.5,1479.5,2091.5,0.0,0,0.0,0.0
5,+ FAQ Cache,30,0.533,0.6,0.6,0.567,0.367,0.757,1012.1,1189.1,1943.2,0.333,10,0.06,1518.2
6,+ Agentic Loop,30,0.867,0.967,0.967,0.917,0.622,0.678,4349.1,3507.4,8107.6,0.0,0,0.0,0.0
