config_id,config_name,n,hit1,hit3,hit5,mrr5,p3,ctx_recall,lat_mean,lat_median,lat_p95,cache_hit_rate,n_cache_hits,lat_cache_hit,lat_cache_miss
1,Base RAG,245,0.714,0.849,0.906,0.789,0.446,0.667,15.5,15.3,16.4,0.0,0,0.0,0.0
2,+ Reranker,245,0.796,0.931,0.959,0.862,0.533,0.706,230.1,214.1,399.3,0.0,0,0.0,0.0
3,+ Regex Rewrite,245,0.82,0.922,0.955,0.872,0.55,0.701,229.4,217.0,404.4,0.0,0,0.0,0.0
4,+ LLM Decomp,245,0.784,0.918,0.935,0.85,0.529,0.696,1337.4,1294.7,1808.1,0.0,0,0.0,0.0
5,+ FAQ Cache,245,0.518,0.6,0.608,0.56,0.359,0.809,856.1,1132.3,1728.7,0.355,87,0.03,1327.5
6,+ Agentic Loop,245,0.82,0.943,0.967,0.882,0.546,0.713,3268.9,2566.4,6969.2,0.0,0,0.0,0.0
